1,135.5
2,135.78
3,135.88
4,135.76
7,135.95
8,136.14
9,137.72
10,137.56
11,138.26
15,137.95
16,137.0
17,136.62
18,138.75
21,137.64
22,138.22
23,139.85
24,138.76
25,139.07
28,139.58
29,138.42
30,134.61
31,137.43
32,137.82
35,136.0
36,135.47
37,136.04
38,137.0
39,138.6
42,140.41
43,136.83
44,139.79
45,143.24
46,144.12
50,141.77
51,140.66
52,142.38
53,143.5
55,142.59
56,142.58
57,138.82
58,140.58
60,139.08
63,140.45
64,137.66
65,137.14
66,135.94
67,135.63
70,134.94
71,136.44
72,135.97
73,136.96
74,134.45
77,134.15
78,131.67
79,133.36
80,132.5
81,132.9
84,131.63
85,130.39
86,131.05
87,132.18
91,132.82
92,132.99
93,132.18
94,133.2
95,129.22
98,130.29
99,130.49
100,129.9
101,129.08
102,128.53
105,128.21
106,127.72
107,126.87
108,127.09
109,126.05
112,127.74
113,127.3
114,126.5
115,128.49
116,126.72
119,127.65
120,127.39
121,126.64
122,128.74
123,129.12
126,129.99
127,130.47
128,127.09
129,125.27
130,126.16
133,127.43
134,125.95
135,127.15
136,128.08
137,128.14
140,127.54
141,127.65
142,129.2
143,135.47
144,134.27
148,133.2
149,131.28
150,131.61
151,131.21
154,132.88
155,132.48
156,136.93
157,137.9
158,138.0
161,136.17
162,135.32
163,137.02
164,135.68
165,135.58
168,135.63
169,137.73
171,137.77
172,138.4
175,139.5
176,141.01
177,140.22
178,141.21
179,139.91
