1,135.5
2,135.78
3,135.88
4,135.76
5,135.95
6,136.14
7,137.72
8,137.56
9,138.26
10,137.95
11,137.0
12,136.62
13,138.75
14,137.64
15,138.22
16,139.85
17,138.76
18,139.07
19,139.58
20,138.42
21,134.61
22,137.43
23,137.82
24,136.0
25,135.47
26,136.04
27,137.0
28,138.6
29,140.41
30,136.83
31,139.79
32,143.24
33,144.12
34,141.77
35,140.66
36,142.38
37,143.5
38,142.59
39,142.58
40,138.82
41,140.58
42,139.08
43,140.45
44,137.66
45,137.14
46,135.94
47,135.63
48,134.94
49,136.44
50,135.97
51,136.96
52,134.45
53,134.15
54,131.67
55,133.36
56,132.5
57,132.9
58,131.63
59,130.39
60,131.05
61,132.18
62,132.82
63,132.99
64,132.18
65,133.2
66,129.22
67,130.29
68,130.49
69,129.9
70,129.08
71,128.53
72,128.21
73,127.72
74,126.87
75,127.09
76,126.05
77,127.74
78,127.3
79,126.5
80,128.49
81,126.72
82,127.65
83,127.39
84,126.64
85,128.74
86,129.12
87,129.99
88,130.47
89,127.09
90,125.27
91,126.16
92,127.43
93,125.95
94,127.15
95,128.08
96,128.14
97,127.54
98,127.65
99,129.2
100,135.47
101,134.27
102,133.2
103,131.28
104,131.61
105,131.21
106,132.88
107,132.48
108,136.93
109,137.9
110,138.0
111,136.17
112,135.32
113,137.02
114,135.68
115,135.58
116,135.63
117,137.73
118,137.77
119,138.4
120,139.5
121,141.01
122,140.22
123,141.21
124,139.91
